ppt_number,agency,watchlist_details,status,notes
190,National Commodity Clearing Limited (NCCL),List of Suspended / Defaulter / Expelled Members,pending_recon,
191,National Securities Depository Limited (NSDL),List of Account Holders on which Freeze Action is Initiated Based on SEBI Directions,pending_recon,
192,National Spot Exchange Limited (NSEL),Defaulters,pending_recon,
193,National Spot Exchange Limited (NSEL),Details of Amount Crystallised by HCC and Accepted by Honble Court Against Defaulters,pending_recon,
194,National Spot Exchange Limited (NSEL),Details of Amount Crystallised by HCC and Pending Acceptance by Honble Court Against Defaulters,pending_recon,
195,National Spot Exchange Limited (NSEL),Details of Arbitration / Conciliation Award Obtained by NSEL Against Defaulters,pending_recon,
196,National Spot Exchange Limited (NSEL),Details of Decrees obtained After Determination of Liability by HCC,pending_recon,
197,National Spot Exchange Limited (NSEL),Details of Decrees Obtained by NSEL Against Defaulters by BHC,pending_recon,
198,National Stock Exchange (NSE),Arbitration Awards,pending_recon,
199,National Stock Exchange (NSE),Authorized Person (AP) Cancellation Done Due to Disciplinary Reason,pending_recon,
200,National Stock Exchange (NSE),List of Defaulter Members,pending_recon,
201,National Stock Exchange (NSE),List of Expelled Members,pending_recon,
202,National Stock Exchange (NSE),Other Orders of Member and Core Settlement Guarantee Fund Committee (MCSGFC),pending_recon,
203,NSE Clearing Limited (NSECL),Cessation of Membership,pending_recon,
204,NSE Clearing Limited (NSECL),Defaulter Members,pending_recon,
205,Andaman and Nicobar Police (ANP),Wanted Criminals,pending_recon,
206,Arunachal Pradesh Police (APP),Wanted Criminals,pending_recon,
207,Assam Police (AP),Most Wanted,pending_recon,
208,Chandigarh Police (CP),Wanted person by Economic Offence Wing,pending_recon,
209,Delhi Police (DP),Economic Offenses Wing Proclaimed Offenders,pending_recon,
210,Delhi Police (DP),Most Wanted,pending_recon,
211,Delhi Police (DP),Wanted Criminals of Economic Offence Wing,pending_recon,
212,Gurugram Police (GP),Most Wanted Criminals,pending_recon,
213,Haryana Police,Unauthorized Recruitment Agencies List,pending_recon,
214,Karnataka Police (KP),Wanted,pending_recon,
215,Kerala Police (KP),Wanted Persons,pending_recon,
216,Kolkata Police (KP),Most Wanted,pending_recon,
217,Meghalaya Police (MP),List of Wanted Person,pending_recon,
